episode,reward,shaped_reward,length,epsilon
215,80,202.16516960669506,1000,0.07605262415207413
216,90,203.02294802721516,1000,0.0751467294253731
217,-130,54.65416305603408,233,0.07425162519097939
218,-160,126.37811074095626,643,0.0733671829188102
219,-130,117.4541630560334,563,0.07249327560975849
220,-140,49.36679039739748,214,0.07162977777745688
221,80,200.776946218477,1000,0.0707765654302588
222,-160,43.402310957574265,201,0.0699335160534342
223,-150,127.1510039597697,636,0.0691005085915774
224,-160,50.882260451235396,242,0.06827742343122449
225,-150,34.00344091036184,141,0.06746414238367772
226,-130,99.21673989105814,469,0.06666054866803452
227,-170,69.68968361621069,348,0.06586652689441866
228,-120,58.09083909499797,241,0.06508196304741118
229,-150,67.06054769154801,316,0.0643067444696786
230,-120,70.1432510652498,304,0.06354075984579624
231,-130,130.0553185348205,631,0.06278389918626417
232,-140,155.0078448635057,776,0.06203605381171355
233,-140,86.67052271120873,414,0.0612971163373011
234,-140,65.46989898732203,298,0.060566980657289514
235,-110,143.71269119345695,684,0.059845541929811424
236,-120,196.54073808231857,974,0.05913269656181497
237,-160,111.96406204335581,567,0.0584283421941886
238,-130,191.9974274670386,969,0.0577323776870631
239,-160,161.24856960007014,828,0.05704470310528871
240,-160,37.97257683502448,170,0.05636521970408515
241,-160,19.93426406871195,74,0.05569382991486269
242,70,200.71095345343,1000,0.05503043733121202
243,-120,198.62090294709105,990,0.05437494669506101
244,-120,107.96341593002202,506,0.05372726388299644
245,-150,183.21420451868028,938,0.05308729589274854
246,-140,69.69421356237275,319,0.052454950829836644
247,-130,94.03893649019884,440,0.05183013789437379
248,-130,194.88189356110584,977,0.05121276736802858
249,-110,124.17531853482048,581,0.050602750601142325
250,-120,122.05049718520866,579,0.05
251,210,225.35468576724153,1000,0.05
252,-160,15.24284271247462,49,0.05
253,-180,43.5779708565238,219,0.05
254,70,199.94063706964081,1000,0.05
255,-150,163.95379616590498,833,0.05
256,-130,180.08237480966747,898,0.05
257,80,201.97531401297394,1000,0.05
258,-120,173.3364740136071,852,0.05
259,-110,141.21567638125705,677,0.05
260,-130,82.91232689422186,387,0.05
261,-140,99.97811074095658,485,0.05
262,-130,88.48052271120872,414,0.05
263,-130,188.95637300092906,947,0.05
264,90,204.1878448635051,1000,0.05
265,-150,40.51510316371011,178,0.05
266,-160,11.253033438735397,30,0.05
267,50,195.64152667097792,1000,0.05
268,-140,103.11083909499749,497,0.05
269,70,200.06658837204031,1000,0.05
270,-160,66.62994949366085,321,0.05
271,-140,76.25816124729565,358,0.05
272,-180,28.601012442100988,141,0.05
273,-170,174.79063706964126,912,0.05
274,-160,73.35331750823664,364,0.05
275,-130,193.29784486350525,968,0.05
276,40,193.48999283450917,1000,0.05
277,70,200.0146857672417,1000,0.05
278,-150,50.48115547878707,226,0.05
279,70,199.95610712347894,1000,0.05
280,-160,39.06196904778565,179,0.05
281,-130,138.90215943855668,681,0.05
282,-160,77.0825263286852,378,0.05
283,-160,37.7056349186104,170,0.05
284,-140,44.5413708498984,186,0.05
285,-130,81.09799638252308,371,0.05
286,-110,182.50274169979522,886,0.05
287,-140,109.25625864249649,533,0.05
288,-140,177.56837661840558,892,0.05
289,-130,107.3590088246238,513,0.05
290,-140,47.17284271247455,198,0.05
291,-120,158.65121933088062,774,0.05
292,-120,164.60453383321374,808,0.05
293,-120,89.18968361621047,403,0.05
294,60,197.95270713010427,1000,0.05
295,-130,158.16613210381848,782,0.05
296,-140,149.149649046519,748,0.05
297,-160,26.51399819126185,110,0.05
298,-90,164.71307402023257,778,0.05
299,-140,106.08558441227083,513,0.05
300,70,199.61798733883055,1000,0.05
301,-140,65.76794587618448,302,0.05
302,-130,135.69172869633414,662,0.05
303,-170,98.07132034355897,499,0.05
304,-110,176.65811074095564,860,0.05
305,-140,36.50159915175394,144,0.05
306,-110,169.2833149173434,823,0.05
307,80,201.73347978211544,1000,0.05
308,-120,103.92105446610884,483,0.05
309,-130,49.593200558911256,207,0.05
310,-140,78.13630914883571,366,0.05
311,70,201.17958260353143,1000,0.05
312,-150,98.45220994489598,485,0.05
313,-130,51.919949493661065,215,0.05
314,-110,184.58347978211575,907,0.05
315,-120,99.08601718402484,463,0.05
316,-150,25.433782820150512,94,0.05
317,-130,94.3942135623725,440,0.05
318,-160,156.163796165905,801,0.05
319,70,200.06001957379078,1000,0.05
320,80,201.78326441100413,1000,0.05
321,-110,61.33085955349158,251,0.05
322,-130,172.02073808231899,855,0.05
323,60,197.96817718394223,1000,0.05
324,-160,37.39088960133705,168,0.05
325,-140,54.83399819126158,240,0.05
326,100,204.9086839585033,1000,0.05
327,-140,102.96105446610885,497,0.05
328,-150,50.46358927712529,230,0.05
329,80,201.13002928240206,1000,0.05
330,-160,121.521773123631,621,0.05
331,-160,59.92449537647106,294,0.05
332,90,203.56723707626628,1000,0.05
333,-130,70.46968361621069,314,0.05
334,80,202.31926621974245,1000,0.05
335,-140,88.4507125563203,422,0.05
336,-120,140.65888598385956,678,0.05
337,-130,184.32762949239404,920,0.05
338,-160,73.98394768492255,362,0.05
339,-130,73.84536904115987,333,0.05
340,-170,39.0268409037364,186,0.05
341,-130,75.32804688886206,339,0.05
342,-160,48.49792035018494,228,0.05
343,-180,25.952539259429848,128,0.05
344,-140,28.67804688886245,103,0.05
345,-160,54.267056274847526,258,0.05
346,-120,95.60126983722029,440,0.05
347,20,191.25757898605505,1000,0.05
348,-120,129.90218755544862,624,0.05
349,-140,80.37998314546975,379,0.05
350,-130,102.20924328463607,485,0.05
351,-170,36.545153670048975,174,0.05
352,-180,97.47605920803336,516,0.05
353,-150,49.193947684922875,222,0.05
354,-130,47.52823987052654,195,0.05
355,-160,84.26481176025978,417,0.05
356,-160,116.06086448153049,589,0.05
357,-130,152.6445209024697,754,0.05
358,-110,150.18953209719325,721,0.05
359,-120,143.38762949239467,695,0.05
360,-130,97.73741412128379,464,0.05
361,-150,29.227106781186613,114,0.05
362,90,203.77779435716636,1000,0.05
363,-170,61.749898987322084,307,0.05
364,-150,76.85191854144638,370,0.05
365,-130,128.5214626628953,628,0.05
366,-130,196.43420451868013,988,0.05
367,40,194.60184305476693,1000,0.05
368,90,202.48062510479494,1000,0.05
