episode,reward,length,epsilon
268,-90,30,0.8745607565573406
269,-20,43,0.8741234761790619
270,310,300,0.8736864144409725
271,50,69,0.873249571233752
272,90,127,0.8728129464481352
273,30,149,0.8723765399749112
274,-60,48,0.8719403517049238
275,30,109,0.8715043815290714
276,70,160,0.8710686293383069
277,0,48,0.8706330950236377
278,-80,68,0.870197778476126
279,90,116,0.869762679586888
280,-80,95,0.8693277982470946
281,-10,69,0.8688931343479711
282,-10,106,0.8684586877807972
283,90,145,0.8680244584369068
284,-40,51,0.8675904462076884
285,470,300,0.8671566509845846
286,90,158,0.8667230726590923
287,-130,42,0.8662897111227629
288,-110,27,0.8658565662672015
289,-10,97,0.865423637984068
290,370,300,0.864990926165076
291,110,81,0.8645584307019936
292,330,300,0.8641261514866426
293,140,180,0.8636940884108993
294,-90,65,0.8632622413666939
295,80,194,0.8628306102460106
296,80,121,0.8623991949408877
297,90,171,0.8619679953434173
298,20,64,0.8615370113457457
299,110,154,0.8611062428400729
300,-70,35,0.8606756897186528
301,-70,19,0.8602453518737936
302,10,127,0.8598152291978567
303,-60,70,0.8593853215832578
304,-10,76,0.8589556289224661
305,-90,42,0.8585261511080049
306,0,87,0.858096888032451
307,130,105,0.8576678395884348
308,40,70,0.8572390056686406
309,-100,31,0.8568103861658064
310,50,68,0.8563819809727236
311,20,290,0.8559537899822373
312,-120,54,0.8555258130872462
313,-30,43,0.8550980501807026
314,110,94,0.8546705011556123
315,50,133,0.8542431659050345
316,200,200,0.853816044322082
317,-70,88,0.8533891362999211
318,-10,148,0.8529624417317712
319,0,51,0.8525359605109053
320,30,192,0.8521096925306499
321,-90,45,0.8516836376843847
322,-50,117,0.8512577958655425
323,0,122,0.8508321669676098
324,-100,34,0.850406750884126
325,-120,57,0.8499815475086839
326,70,149,0.8495565567349297
327,-20,88,0.8491317784565623
328,170,137,0.8487072125673341
329,-90,49,0.8482828589610505
330,-40,58,0.84785871753157
331,-120,27,0.8474347881728043
332,-30,64,0.847011070778718
333,20,155,0.8465875652433287
334,30,78,0.846164271460707
335,10,182,0.8457411893249768
336,150,151,0.8453183187303144
337,90,91,0.8448956595709493
338,0,94,0.8444732117411639
339,80,163,0.8440509751352934
340,0,123,0.8436289496477257
341,0,201,0.8432071351729019
342,350,300,0.8427855316053156
343,90,93,0.8423641388395129
344,120,121,0.8419429567700932
345,40,122,0.8415219852917082
346,250,300,0.8411012242990624
347,150,113,0.8406806736869129
348,-10,109,0.8402603333500694
349,120,183,0.8398402031833945
350,-120,23,0.8394202830818028
351,180,289,0.839000572940262
352,360,300,0.8385810726537919
353,10,86,0.8381617821174651
354,30,52,0.8377427012264064
355,10,135,0.8373238298757932
356,90,95,0.8369051679608553
357,50,284,0.8364867153768749
358,-30,36,0.8360684720191865
359,-60,66,0.835650437783177
360,-120,24,0.8352326125642855
361,20,43,0.8348149962580034
362,140,143,0.8343975887598745
363,-80,30,0.8339803899654946
364,-90,58,0.833563399770512
365,-30,37,0.8331466180706267
366,-40,138,0.8327300447615915
367,120,198,0.8323136797392108
368,-30,27,0.8318975228993413
369,60,284,0.8314815741378917
370,0,177,0.8310658333508228
371,-30,68,0.8306503004341474
372,-80,33,0.8302349752839304
373,-100,32,0.8298198577962885
374,-110,49,0.8294049478673904
375,-50,89,0.8289902453934568
376,80,179,0.8285757502707601
377,-60,54,0.8281614623956248
378,-90,58,0.8277473816644271
379,50,56,0.827333507973595
380,30,118,0.8269198412196082
381,220,293,0.8265063812989984
382,150,257,0.826093128108349
383,10,173,0.8256800815442948
384,-120,36,0.8252672415035227
385,30,93,0.824854607882771
386,-130,41,0.8244421805788297
387,-140,10,0.8240299594885403
388,0,106,0.8236179445087961
389,350,300,0.8232061355365418
390,-130,28,0.8227945324687735
391,140,217,0.8223831352025393
392,80,254,0.821971943634938
393,40,68,0.8215609576631205
394,20,104,0.8211501771842891
395,260,300,0.820739602095697
396,-90,33,0.8203292322946492
397,-90,56,0.8199190676785019
398,10,87,0.8195091081446627
399,0,89,0.8190993535905904
400,-70,63,0.8186898039137951
401,370,300,0.8182804590118382
402,300,300,0.8178713187823323
403,-70,71,0.8174623831229412
404,30,96,0.8170536519313798
405,350,300,0.8166451251054142
406,60,133,0.8162368025428616
407,310,300,0.8158286841415902
408,60,73,0.8154207697995194
409,-130,22,0.8150130594146197
410,-60,82,0.8146055528849124
411,-20,48,0.81419825010847
412,-120,27,0.8137911509834158
413,310,300,0.8133842554079241
414,90,190,0.8129775632802202
415,50,252,0.8125710744985801
416,-100,16,0.8121647889613309
417,170,253,0.8117587065668503
418,0,76,0.8113528272135669
419,110,108,0.8109471507999602
420,-60,122,0.8105416772245603
421,60,91,0.8101364063859481
422,280,300,0.8097313381827551
423,-50,147,0.8093264725136637
424,-30,78,0.808921809277407
425,-100,62,0.8085173483727683
426,-70,71,0.808113089698582
427,-50,72,0.8077090331537328
428,30,67,0.8073051786371559
429,-110,20,0.8069015260478374
430,-40,70,0.8064980752848135
431,70,223,0.8060948262471712
432,-10,43,0.8056917788340476
433,40,123,0.8052889329446307
434,80,129,0.8048862884781584
435,110,196,0.8044838453339194
436,150,192,0.8040816034112525
437,-60,28,0.8036795626095469
438,70,180,0.8032777228282422
439,80,294,0.8028760839668281
